FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,Annual,AZE,Azerbaijan,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.06,0.59,0.0,0.22,0.0,0.0,0.0,0.02,0.42,0.13,0.79,3.47,1.21,0.07,0.07,0.04,0.0,0.13,2.57,0.62,0.18,0.0,5.33,4.57,0.51,0.0,1.86,2.01,2.24,1.4,3.14,0.05,0.18
A,Annual,BDI,Burundi,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,BEL,Belgium,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,BEN,Benin,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,7.15,4.39,3.67,8.96,2.2,2.3,2.31,2.54,2.53,4.94,7.94,4.58,6.35,13.77,4.87,6.98,9.19,9.6,13.46,4.69,8.38,5.34,4.38,8.28,8.05,9.9,7.94,3.25,29.51,7.42,12.05,9.33,13.35,9.73,13.81,18.29,10.98,15.38,5.13,14.92,34.54,14.35,12.32,20.58,13.4,13.5,37.12,16.36,17.78,29.42,27.83
A,Annual,BFA,Burkina Faso,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,17.46,10.23,9.21,20.27,6.97,8.46,5.53,7.49,12.17,12.07,26.31,17.37,17.24,31.53,14.27,16.17,18.44,25.7,25.76,9.87,22.49,18.81,10.9,24.02,18.3,19.43,15.36,7.32,36.5,11.15,23.91,22.68,27.26,24.96,26.27,29.29,19.9,31.15,14.51,32.2,51.75,32.06,22.74,35.97,32.71,33.84,46.67,33.89,36.16,45.36,45.49
A,Annual,BGD,Bangladesh,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,40.26,11.45,50.67,33.64,35.34,29.02,19.98,28.32,30.66,64.14,41.01,25.43,43.0,48.26,28.37,29.77,38.42,53.87,42.74,49.61,38.06,42.81,45.16,38.67,45.4,61.52,54.69,44.97,77.26,46.11,45.64,50.76,45.14,61.77,56.73,71.21,66.7,68.85,58.42,83.51,102.36,64.62,91.67,76.77,91.52,80.33,101.38,98.65,87.56,107.43,102.77
A,Annual,BGR,Bulgaria,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,BHR,Bahrain,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,100.04,107.4,113.86,103.05,105.06,113.9,98.04,116.69,95.77,133.41,117.76,104.35,122.62,92.93,85.9,111.87,132.88,125.2,119.1,101.52,112.3,88.28,99.45,114.28,118.39,113.65,129.56,137.73,129.7,137.25,119.86,114.97,139.01,129.65,116.91,125.08,140.31,142.21,118.18,126.03,140.82,128.55,134.34,104.06,143.96,145.84,123.82,141.41,142.37,156.29,136.16
A,Annual,BHS,"Bahamas, The",WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.43,0.35,0.0,0.0,0.0,0.32,2.02,0.0,0.0,0.0,0.0,0.38,1.81,1.25,0.0,0.0,2.57
A,Annual,BIH,Bosnia and Herzegovina,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,BLR,Belarus,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,BLZ,Belize,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.45,0.0,1.52,0.38,0.01,0.0,0.0,0.64,0.63,1.22,3.09,1.14,3.26,0.16,0.0,0.01,1.78,2.56,0.14,2.05,0.01,1.85,1.12,0.36,3.01,0.55,1.25,12.22,0.52,0.14,0.3,1.11,6.28,2.94,12.96,3.14,2.12,5.03,9.0,19.26,6.14,2.72,3.87,3.41,9.53,18.98,17.47,2.13,24.2,22.56
A,Annual,BOL,Bolivia,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.21,0.01,0.26,0.54,0.02,0.01,0.0,0.01,0.15,0.2,0.13,0.04,0.05,0.46,0.07,0.17,0.14,0.56,0.3,0.06,0.43,0.16,0.08,0.41,0.41,0.23,0.12,1.91,1.21,0.29,0.21,0.31,1.46,0.7,1.03,1.17,0.92,0.57,1.22,2.5,3.54,0.61,1.66,1.27,1.25,5.31,4.25,1.49,1.19,2.61,4.38
A,Annual,BRA,Brazil,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.13,0.02,0.1,0.22,0.01,0.01,0.02,0.0,0.03,0.05,0.04,0.02,0.05,0.25,0.04,0.09,0.1,0.32,0.21,0.08,0.32,0.18,0.07,0.19,0.27,0.13,0.07,0.98,0.9,0.25,0.16,0.35,0.69,0.35,0.4,0.61,0.56,0.31,0.13,0.73,0.99,0.19,0.38,0.25,0.3,1.41,1.16,0.51,0.74,0.71,0.32
A,Annual,BRB,Barbados,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,BRN,Brunei Darussalam,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,COUNT,Count,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.29,4.33,0.0,0.15,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.13,0.0,0.0,0.27,2.18,0.89,3.77,0.53,2.98,2.77,3.35
